N,P,K,temperature,humidity,ph,rainfall,label,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,fertilizer_usage,growth_stage,urban_area_proximity,water_source_type,frost_risk,water_usage_efficiency
90,42,43,20.8797,82.0027,6.5029,202.9355,rice,29.4460,2,8.6773,10.1098,435.6112,3.1213,4,11.7439,57.6073,188.1949,1,2.7196,3,95.6499,1.1932
85,58,41,21.7704,80.3196,7.0380,226.6555,rice,12.8511,3,5.7542,12.0480,401.4518,2.1420,4,16.7971,74.7368,70.9636,1,4.7144,2,77.2656,1.7526
60,55,44,23.0044,82.3207,7.8402,263.9642,rice,29.3639,2,9.8752,9.0513,357.4179,1.4749,1,12.6543,1.0344,191.9760,1,30.4317,2,18.1921,3.0355
74,35,40,26.4910,80.1583,6.9804,242.8640,rice,26.2077,3,8.0236,7.9636,363.6943,8.3939,1,10.8643,24.0918,55.7613,3,10.8610,3,82.8187,1.2733
78,42,42,20.1301,81.6048,7.6284,262.7173,rice,28.2362,2,8.1205,19.2641,410.3564,5.2022,3,13.8529,38.8114,185.2597,2,47.1907,3,25.4664,2.5786
69,37,42,23.0580,83.3701,7.0734,251.0549,rice,23.6131,3,10.8737,2.7288,428.7284,5.9584,5,13.4784,82.0734,135.9290,3,42.1587,3,43.4263,1.7536
69,55,38,22.7088,82.6394,5.7008,271.3248,rice,15.3336,2,8.7268,4.7150,398.3170,7.3899,1,13.4876,48.8146,121.1736,1,1.5921,3,50.0189,3.1715
94,53,40,20.2777,82.8940,5.7186,241.9741,rice,20.8356,3,10.7198,6.6275,379.8472,1.2420,4,8.6307,80.1278,195.7361,1,14.4152,1,18.0899,3.1795
89,54,38,24.5158,83.5352,6.6853,230.4462,rice,26.6406,2,11.6001,7.3093,446.3333,8.8217,2,11.2601,89.8701,73.4469,3,48.1387,3,98.3774,1.5309
68,58,38,23.2239,83.0332,6.3362,221.2091,rice,24.3688,3,6.4131,15.3958,377.3990,4.2417,1,11.8854,26.5442,72.7917,1,45.6471,2,63.3357,4.5868
91,53,40,26.5272,81.4175,5.3861,264.6148,rice,20.4591,2,6.4328,18.2412,397.4717,7.6862,3,19.8037,43.0149,88.3538,1,25.4427,3,0.8030,1.4760
90,46,42,23.9789,81.4506,7.5028,250.0832,rice,15.4046,2,8.5548,3.5335,387.8389,3.3123,2,6.0246,65.4292,162.3957,1,36.3997,2,79.2117,4.9563
78,58,44,26.8007,80.8868,5.1086,284.4364,rice,15.6964,1,5.9624,7.8964,359.0427,6.1428,6,7.7556,44.7769,196.0829,3,7.0307,3,26.7241,1.5690
93,56,36,24.0149,82.0568,6.9843,185.2773,rice,18.1022,3,10.5091,4.2498,439.9141,3.2086,2,7.5528,80.6212,83.0645,1,40.4247,2,12.4516,1.0297
94,50,37,25.6658,80.6638,6.9480,209.5869,rice,19.7425,2,7.6134,3.9259,431.6839,1.1538,4,13.5204,91.7188,78.3083,2,10.1577,2,30.7124,4.4105
60,48,39,24.2820,80.3002,7.0422,231.0863,rice,23.3451,1,10.1686,13.2143,386.1428,8.7055,3,14.3122,13.3580,117.2667,3,43.4764,1,50.3988,1.3745
85,38,41,21.5871,82.7883,6.2490,276.6552,rice,12.2878,1,10.7480,18.9979,435.4804,8.5505,1,15.3032,31.4293,182.0508,3,14.4860,2,38.6830,1.1359
91,35,39,23.7939,80.4181,6.9708,206.2611,rice,20.5055,2,8.9143,5.6058,362.0769,5.0837,5,6.8867,14.4834,74.4938,3,35.1476,3,77.8685,1.0855
77,38,36,21.8652,80.1923,5.9539,224.5550,rice,19.8629,3,9.6047,15.0375,449.0999,3.2879,6,8.6693,50.1616,75.7514,2,4.8523,1,83.1699,2.2901
88,35,40,23.5794,83.5876,5.8539,291.2986,rice,25.7510,1,5.1561,11.9669,387.8451,8.8266,6,13.4192,21.4275,87.3767,2,24.8389,2,49.8345,1.3075
89,45,36,21.3250,80.4747,6.4424,185.4974,rice,17.8509,1,11.3022,2.5680,386.9120,8.1372,2,13.3311,90.8750,145.3580,2,43.2756,1,3.0703,1.4701
76,40,43,25.1574,83.1171,5.0701,231.3843,rice,16.9254,2,7.1937,16.9427,380.1545,3.7575,6,11.4393,43.7082,69.9560,3,9.1506,3,94.3818,3.6723
67,59,41,21.9476,80.9738,6.0126,213.3560,rice,13.9285,3,8.4017,17.4443,427.3210,4.9411,1,5.2613,37.0839,177.9535,3,23.1327,3,15.4729,2.4656
83,41,43,21.0525,82.6783,6.2540,233.1075,rice,15.0540,1,8.3538,1.0286,422.1631,5.1542,2,5.8441,71.0615,68.9503,1,43.6234,3,20.1404,2.6868
98,47,37,23.4838,81.3326,7.3754,224.0581,rice,21.6655,3,11.4003,7.1781,387.1073,2.5247,3,7.6744,66.6865,56.2910,3,33.5582,2,77.1518,2.6293
66,53,41,25.0756,80.5238,7.7789,257.0038,rice,13.7417,2,8.2328,1.2902,434.9922,7.4178,2,13.4202,66.9663,161.9988,1,21.8550,1,75.1235,3.9887
97,59,43,26.3592,84.0440,6.2865,271.3586,rice,25.5254,1,5.0296,12.9570,354.2222,2.3172,2,10.7208,89.9416,123.9161,1,15.8405,3,80.5635,2.7810
97,50,41,24.5292,80.5449,7.0709,260.2634,rice,16.9004,1,7.1306,16.2858,387.0109,4.2292,1,9.2885,34.1265,186.4868,3,27.3290,1,29.0082,4.5961
60,49,44,20.7757,84.4977,6.2448,240.0810,rice,14.0708,1,8.2055,18.8592,382.4049,6.4097,4,15.9294,42.5712,54.4600,2,27.5136,3,24.0791,1.1690
84,51,35,22.3015,80.6441,6.0433,197.9791,rice,12.4187,3,6.4957,13.9070,385.5906,4.8526,5,6.1418,41.5563,123.1136,3,15.7186,1,49.5167,1.4571
73,57,41,21.4465,84.9437,5.8247,272.2017,rice,24.0385,2,7.3954,15.9770,409.1350,2.3740,4,14.3080,45.5798,143.3450,1,33.4691,1,72.2921,3.6672
92,35,40,22.1793,80.3312,6.3573,200.0882,rice,11.7866,2,7.8274,19.2058,449.7528,1.1610,3,10.6442,32.1810,112.7879,1,30.4785,3,87.2301,3.8583
85,37,39,24.5278,82.7368,6.3642,224.6757,rice,18.5808,1,10.6819,3.9369,440.5935,4.7192,6,15.7899,5.0008,73.5513,1,22.9720,2,11.0302,1.2581
